,document,label,label2
8,일부러 보시라고 점 드리는데 음질설정에서 데이터켠 상태에서 옵션이 에서 로 계속 내려가고 설정이 계속 초기화됩니다,0,1
16,중복곡을 또 재생목록에 추가하면 원래는 중복곡이라며 추가가 안됬는데이젠 맨 위로 이동되서 순서가 엉망이 되네요 ㅠㅠㅠ,0,1
17,그렇다고 중복곡 삭제 기능을 사용했더니 원래 순서 말고 최근 순서대로 남고 원래대로 돌려주세요ㅠㅠ,0,1
39,저만 그런가 싶어서 후기 찾아봤는데다른 작업 하려고 지니에서 노래 틀고 백그라운드로 나가면 노래 끊기는 현상이 있습니다,0,1
50,잠금화면에 노래 재생이름이 계속 한 곡으로만 떠요,0,1
51,로꼬의 재생목록 사라지는거 생각안하고 지웠다가 다시 다운받았는데도 그대로네여,0,1
60,다만 아쉬운 점은 재생화면가사와 음파가 나오고 우측에는 재생목록이 보이는 화면에서 다른 앱을 사용하고 다시 들어가면 그 화면에서 멈춰 있는 현상이 발생합니다,0,1
61,음악은 정상적으로 재생되고 다음곡으로 넘어가고 가사 또한 잘 나오는데 앨범 커버 사진과 음파가 그 자리에 그대로 있습니다,0,1
62,그리고 재생목록 화면도 그대로 있습니다,0,1
63,원래는 음악이 넘어가면 재생목록 화면도 그 음악이 있는 곳으로 넘어가지 않습니까,0,1
64,업데이트를 통해서 이런 버그 수정해주시면 감사하겠습니다,0,1
65,지니뮤직 어플 이용중 네이버 들어가면 노래 중단 되구요,0,1
66,다음곡으로 넘길시 로딩 한참 걸리고 그러다 가끔 서비스 연결 재시도 중이라고 하고ㅜㅜ 노래 잘듣던거 갑자기 못듣게 되구 진짜 너무너무 잘쓰고 있는데 그런점들때문에 답답하고 속상해요ㅜㅜ,0,1
85,왜 백그라운드 앱으로 설정 안되고 앱 정리할때마다 노래가 꺼지는지 여쭙고 싶습니다,0,1
95,그리고 자동차에서 블투로 재생중 자기 마음대로 음악검색 기능이 켜집니다,0,1
146,노래 재생목록이나 플레이리스트 편집하고 완료하면 다시 맨 위로 올라가는 것 좀 고쳐주세요,0,1
154,실행까지는 되는데음악재생미디어 재생 이런건 안먹히네요,0,1
160,잠금화면에서 음성명령으로든 시리통해서든 열게 해주시고 그렇게 열리면 자동재생 시작되게 좀 부탁드릴께요,0,1
179,거지같게 멜론으로 갈아타려는거 그냥 귀찮아서 쓰고있는데 갑자기 버퍼링이 안돼서 줄간가사 넘기는거 안될때도 많고 자잘한 오류도 엄청 많아요ㅋㅎ,0,1
188,지니 사용중 다른 앱 이용하고 다시 지니로 돌아가거나 화면 껐다가 지니로 돌아가면 노래는 잘 나오는데 화면이 자꾸 멈춥니다,0,1
191,최근에 계속 댓글 달려고 하면 튕기면서 앱 꺼져요 댓 안달때도 몇번 그랬는데 노래도 멈춰지고 그때마다 듣던 노래도 처음부터 다시 들어야되고 불편합니다,0,1
195,앱 재시작 휴대폰 재부팅 해도 어쩌다가 갑자기 연결이 끊기거나 특히 댓글에 답댓글 달아주려고 하면 튕기네요,0,1
