,document,label,label2
9,다른 설정도 그래요흔들면 음성인식되는거 특히 불편합니다,0,2
40,그리고 속도가 많이 느려졌어요ㅠ,0,2
52,내 재생목록ㅜㅜ추가 휴대폰껐다 켜는 걸 안해봤었네요,0,2
53,재시작하니깐 괜찮아졌어요 그래도 이전엔 한 번도 없던 오류니깐 한 번 봐주세요,0,2
97,대 음악재생어플 멜ㄹ벅ㅅ그리고 이번에 통합된 구엠넷현지니지니가 멜ㄹ벅ㅅ에 비교가 너무 될만큼 꿀리는 몇 가지이 문제들만 해결되거나 개선된다면 멜ㄹ벅ㅅ 뿐만 아니라 지금 치고 올라오는 네이ㅂ바이브까지 견제 가능 스트리밍 시 다음 곡으로 넘어가는 재생 버퍼링 기타 여러가지의 기능을 실행할 때 생기는 버퍼링과 렉의 해결,0,2
114,지니어플 자체는 경량화된 거 같은데 곡이나 재생 곡 기능은 경량화되지 않은 아이러니함 버퍼링과 렉을 초래 해결바랍니다 지니어플을 오랫동안 쓰는 사람들은 그 동안 지니에 만든 플레이리스트나 좋아하는 아티스트곡에 단 댓글들이 추억이라 참고 견디다는 점 알아줬으면 합니다,0,2
151,지니 사용 년차 오전에 갑자기 오류가 엄청나길래 앱 삭제후 다시 깔았는데 저의 곡이 사라졌습니다,0,2
241,안그랬는데 자꾸 끊기네요몇달째에요어플이랑 충돌이 나는건지너무 불편하네요 개선해주세요,0,2
316,스트리밍 음악 재생도 너무 느리구요,0,2
317,노래 검색도 버퍼링이 너무 심하고 그냥 전부다 슬로우모션같습니다,0,2
338,저는 불편함을 서버 튕겼을 때 제외하고 딱히 못 느꼈는데 말이죠,0,2
339,최근은 음악을 들을 때 정말 짧게 소리가 밀린다고 해야 하나 뚜둑 하는 느낌으로 끊기는 게 있어요,0,2
449,가끔 끊기는 오류가 있어요,0,2
488,가끔씩 노래가 사라지네요ㅜㅜ,0,2
489,분명히 재생목록에 담았는데 사라질때가 있네요,0,2
490,많이는 아니지만 아주가끔 몇개씩 사라지네요ㅜㅜ,0,2
499,무슨 초마다 한 번씩 끊기네요 노래를 듣지를 못하겠어요,0,2
769,요즘 들어서 앱이 좀 느려진 것 같아요 느려요,0,2
1052,저장했던 곡들이 없어졌어요 무슨일이죠 저만 그런건가요,0,2
