,document,label,label2
2,업뎃후 적응이야 늘 하는거지만 적당히 바껴야되는데 ,0,3
4,군대 전역전까지 메롱쓰다가 년 전역후부터 지니뮤직으로 갈아탄후 계속 사용하고있는 유저인데요 지니는 계열 할인으로 아마 사용하는 사람들이 많을겁니다 ㅋㅋ,0,3
13,이번에 가 출시되면서 단축어 기능이 활성화 되었는데요,0,3
14,벅스나 유튜브 뮤직애플 뮤직 등에는 각각의 앱 자체에서 자동화 기능을 업데이트를 통해 넣었습니다,0,3
15,지니도 자동화 기능이 빠른 시일 내에 추가되었으면 합니다,0,3
18,잘 쓰고있는데요지니 앱 화면 나가면 가사 같은게 떴으면 좋겠어요,0,3
19,모르는 가사 있으면 할 일 있다가 다시 앱 들어가야하는게 조금 귀찮아요,0,3
21,제가 위주로 음악을 듣는데 제가원하는 음악이 안뜹니다ㅠ,0,3
22,멜론뮤직에서는 뜨는데 지니뮤직은 안떠서 조금 아쉽습니다,0,3
34,그렇지만 좀 더 있으면 좋은 것 같은 기능이 있어요,0,3
35,배속 노래 연습 하라고 반복기능이 있는 것은 좋지만 배속도 있으면 좋겠습니다,0,3
36,자동 노래 재생 곡 한곡을 듣고 바로 다음 곡으로않넘어 가요 그래서 조금 불편합니다,0,3
37,이 기능 들이 있으면 좋겠고 제가 모르는 기능 일 수도 있지만 그래도 앱 정말 좋아요,0,3
42,임시파일 얼마나 쌓였는지 확인도 가능했으면 좋겠습니다,0,3
43,중복곡 제외 선택해놨을 때 재생목록에 있는 곡을 차트에서 재생을 누르면 해당곡이 중복곡이라고 나오고 그 노래가 틀어지진 않더라고요,0,3
44,지니도 인스타 공유기능쫌 협약해서 올릴수있게 해주면 안되나요,0,3
48,너무한 거 아닌가요 새로 올라오는 곡은 커녕 임영웅 노래만 있어서 듣기가 싫네요 차단기능 좀 만들어주세요 제발,0,3
49,에서는 차트에서 중복곡을 눌렀을 때 재생목록에서 그 곡이 있는 위치로 가서 재생되던데 폰에서도 이 기능을 넣어주시면 좋을 거 같아요,0,3
56,아니 첫달 백원 이벤트 있길래 해봤는데 앱이 별로더라고요 그래서 안썼는데 알고보니까 다음달 결제를 의무로 하게 되어 있었어요,0,3
58,절대 추천하지 않고요 왜 그러는 겁니까 밀리의 뮤직 스포티파이 유투브뮤직 애플뮤직 다 첫달 무료있고 마감되기 전에 자동으로 돈나갈 까봐 연락도 주는데 어휴,0,3
67,그리고 한가지 기능적으로 요청드리고 싶은게 잇다면 내가 좋아요한 음악들 장르별 정리 되었음 좋겟어여,0,3
68,분할모드나 플로팅 창 모드에서도 아이폰처럼 사용할 수 있게 업데이트 해주셨으면 좋겠습니다,0,3
69,전체 플레이 리스트 곡 수도 개 정도는 담을 수 있게 늘려주세요,0,3
73,근데 로 업데이트를 하려는데 왜 안 되는거죠ㅠㅠ,0,3
74,삭제하고 다시 깔면 재생목록 사라지잖아요ㅠㅠ,0,3
75,에 들어와서 보면 업데이트가 아니라 열기 버튼으로만 나오고 업데이트 창에 가도 안 떠있고 어떡해야 하죠,0,3
76,아이폰 단축어 자동화 재생 기능이 유튜브와 벅스에는 이미 나왔더라고요 이 기능 때문에 옮길까 생각중입니다,0,3
77,빨리 나왔으면 좋겠네요,0,3
78,가사 나오는 화면이 좀더 감성적이거나 꾸밈이 있었으면 좋겠어요,0,3
79,너무 하얀 바탕에 딱딱한 글씨만 있는거같아요 ㅠㅠ,0,3
81,상황에따라 골라서 음향조절 가능하고 ㅎㅎ가사만 좀더 업그레이드 해주세요,0,3
82,기존에는 재생목록에서 좌측으로 스와이프하면 해당곡 삭제메뉴가 표시됐는데 업데이트되고 난 후로는 마이앨범 타임머신 등 사용하지 않는 메뉴로 이동해요 해당부분 설정으로 조정하거나 기존처럼 사용 하도록 변경 안 되나요,0,3
83,아이폰미니 사용 중인데 원래 카매라 부분은 검정색으로 처리 됬는데 업데이트 이후 카메라 부분 까지 채워 버림니다,0,3
84,그리고 동영상 화질 이랑 추가 해주세요,0,3
89,차트 듣고 싶은데 한 아티스트한테 거의 점령당하다 싶이 해서 못들은지 오래됐네요,0,3
90,차단하고 차트 담으면 그 노래는 제외되는 기능 만들어주세요,0,3
91,아오 매일 하루에 한번씩 어플 실행시마다 뜨는 팝업창좀 안뜨게 설정하는 것좀 만들어주새여 관심도 없는거 귀차나 죽겠어요,0,3
93,아 진짜 답글 달라는거 개빡침 자꾸 지직 거리면서 팅겨여 언제 업뎃대여 진짜 개불펴내오 공감되는 댓글에 답글달고시퍼요,0,3
94,업데이트 후 상단 노치 부분이 겹쳐서 보입니다,0,3
99,타사 어플과 같이 차트조작가수가 보란듯이 나온 국내차트 특정 가수 스팸처리차단이나 블라인드 특정 소속사 스팸처리차단이나 블라인드 등 둘 중 하나의 기능은 지금 현재 필요한 시점입니다,0,3
